"id_empresa","nombre","tamano_empresa"
1,"TechCorp Inc","mediana"
2,"Cloud AI Solutions","grande"
3,"Quantum Computing Inc","pequeña"
4,"Cognitive Computing","grande"
5,"Advanced Robotics","pequeña"
6,"AI Innovations","grande"
7,"DataVision Ltd","grande"
8,"DeepTech Ventures","mediana"
9,"Machine Intelligence Group","pequeña"
10,"Autonomous Tech","grande"
11,"Predictive Systems","pequeña"
12,"Neural Networks Co","grande"
13,"Future Systems","pequeña"
14,"Smart Analytics","grande"
15,"Algorithmic Solutions","grande"
16,"Digital Transformation LLC","grande"
