"categoria","original","traduccion"
"titulo","AI Research Scientist","Investigador de IA"
"titulo","AI Software Engineer","Ingeniero de Software de IA"
"titulo","AI Specialist","Especialista en IA"
"titulo","NLP Engineer","Ingeniero de Procesamiento de Lenguaje Natural"
"titulo","AI Consultant","Consultor de IA"
"titulo","AI Architect","Arquitecto de IA"
"titulo","Principal Data Scientist","Científico/a de Datos Principal"
"titulo","Data Analyst","Analista de Datos"
"titulo","Autonomous Systems Engineer","Ingeniero/a de Sistemas Autónomos"
"titulo","AI Product Manager","Gerente de Producto de IA"
"titulo","Machine Learning Engineer","Ingeniero de Aprendizaje Automatico"
"titulo","Data Engineer","Ingeniero de Datos"
"titulo","Research Scientist","Cientifico Investigador"
"titulo","ML Ops Engineer","Ingeniero/a de Operaciones de Aprendizaje Automático"
"titulo","Robotics Engineer","Ingeniero de Robotica"
"titulo","Head of AI","Director/a de Inteligencia Artificial"
"titulo","Deep Learning Engineer","Ingeniero de Aprendizaje Profundo"
"titulo","Data Scientist","Cientifico de Datos"
"titulo","Machine Learning Researcher","Investigador/a en Machine Learning"
"titulo","Computer Vision Engineer","Ingeniero de Vision por Computadora"
"nivel_experiencia","EN","principiante"
"nivel_experiencia","MI","intermedio"
"nivel_experiencia","SE","avanzado"
"nivel_experiencia","EX","ejecutivo"
"tipo_contrato","FT","completo"
"tipo_contrato","PT","parcial"
"tipo_contrato","CT","temporal"
"tipo_contrato","FL","autonomo"
"localizacion","China","China"
"localizacion","Canada","Canada"
"localizacion","Switzerland","Suiza"
"localizacion","India","India"
"localizacion","France","Francia"
"localizacion","Germany","Alemania"
"localizacion","United Kingdom","Reino Unido"
"localizacion","Singapore","Singapur"
"localizacion","Austria","Austria"
"localizacion","Sweden","Suecia"
"localizacion","South Korea","Corea del Sur"
"localizacion","Norway","Noruega"
"localizacion","Netherlands","Paises Bajos"
"localizacion","United States","Estados Unidos"
"localizacion","Israel","Israel"
"localizacion","Australia","Australia"
"localizacion","Ireland","Irlanda"
"localizacion","Denmark","Dinamarca"
"localizacion","Finland","Finlandia"
"localizacion","Japan","Japon"
"tamano_empresa","S","pequeña"
"tamano_empresa","M","mediana"
"tamano_empresa","L","grande"
"titulacion","Associate","tecnico superior"
"titulacion","Bachelor","grado"
"titulacion","Master","master"
"titulacion","PhD","doctorado"
"modalidad","0","presencial"
"modalidad","50","hibrido"
"modalidad","100","remoto"
"industria","Automotive","automocion"
"industria","Media","medios"
"industria","Education","educacion"
"industria","Consulting","consultoria"
"industria","Healthcare","salud"
"industria","Gaming","videojuegos"
"industria","Government","politica"
"industria","Telecommunications","telecomunicaciones"
"industria","Manufacturing","manufactura"
"industria","Energy","energia"
"industria","Technology","tecnologia"
"industria","Real Estate","inmobiliaria"
"industria","Finance","finanzas"
"industria","Transportation","transporte"
"industria","Retail","minorista"
"residencia_empleado","Argentina","Argentina"
"residencia_empleado","Australia","Australia"
"residencia_empleado","Austria","Austria"
"residencia_empleado","Belgium","Belgica"
"residencia_empleado","Brazil","Brasil"
"residencia_empleado","Canada","Canada"
"residencia_empleado","Chile","Chile"
"residencia_empleado","China","China"
"residencia_empleado","Colombia","Colombia"
"residencia_empleado","Czech Republic","Republica Checa"
"residencia_empleado","Denmark","Dinamarca"
"residencia_empleado","Egypt","Egipto"
"residencia_empleado","Estonia","Estonia"
"residencia_empleado","Finland","Finlandia"
"residencia_empleado","France","Francia"
"residencia_empleado","Germany","Alemania"
"residencia_empleado","Ghana","Ghana"
"residencia_empleado","Hungary","Hungria"
"residencia_empleado","India","India"
"residencia_empleado","Indonesia","Indonesia"
"residencia_empleado","Ireland","Irlanda"
"residencia_empleado","Israel","Israel"
"residencia_empleado","Italy","Italia"
"residencia_empleado","Japan","Japon"
"residencia_empleado","Kenya","Kenia"
"residencia_empleado","Latvia","Letonia"
"residencia_empleado","Luxembourg","Luxemburgo"
"residencia_empleado","Malaysia","Malasia"
"residencia_empleado","Mexico","Mexico"
"residencia_empleado","Netherlands","Países Bajos"
"residencia_empleado","New Zealand","Nueva Zelanda"
"residencia_empleado","Nigeria","Nigeria"
"residencia_empleado","Norway","Noruega"
"residencia_empleado","Philippines","Filipinas"
"residencia_empleado","Poland","Polonia"
"residencia_empleado","Portugal","Portugal"
"residencia_empleado","Romania","Rumania"
"residencia_empleado","Russia","Rusia"
"residencia_empleado","Singapore","Singapur"
"residencia_empleado","South Africa","Sudafrica"
"residencia_empleado","South Korea","Corea del Sur"
"residencia_empleado","Spain","España"
"residencia_empleado","Sweden","Suecia"
"residencia_empleado","Switzerland","Suiza"
"residencia_empleado","Thailand","Tailandia"
"residencia_empleado","Turkey","Turquia"
"residencia_empleado","Ukraine","Ucrania"
"residencia_empleado","United Kingdom","Reino Unido"
"residencia_empleado","United States","Estados Unidos"
"residencia_empleado","Vietnam","Vietnam"
